Manufacturer,Model,Engine size,Fuel type,Year of manufacture,Mileage,Price
VW,Passat,1.4,Diesel,2020,21413,39310
BMW,Z4,2.2,Petrol,2018,32319,40706
Toyota,RAV4,2.4,Petrol,2021,6829,66031
VW,Polo,1.6,Petrol,2010,108111,7878
Ford,Mondeo,1.6,Diesel,1998,137896,4132
Ford,Focus,1.6,Petrol,2013,66163,18269
VW,Passat,1.6,Diesel,2010,66410,16414
BMW,Z4,2.2,Petrol,2014,61332,26084
Toyota,RAV4,2.4,Petrol,2016,34379,40646
Porsche,911,3.5,Petrol,2003,107705,24378
VW,Golf,1.8,Diesel,2014,28530,23034
VW,Passat,1.6,Diesel,2015,57933,24207
BMW,Z4,2.4,Petrol,1997,146910,4671
Toyota,Prius,1.4,Hybrid,2001,152067,5040
BMW,M5,4.0,Petrol,2003,123913,19474
Toyota,RAV4,1.8,Hybrid,2005,119097,11398
VW,Golf,1.2,Diesel,2008,97150,8066
Ford,Focus,2.0,Petrol,2010,86405,14567
Toyota,Yaris,1.2,Hybrid,2001,85798,5959
VW,Golf,2.0,Diesel,2015,50628,22743
BMW,Z4,3.0,Petrol,2014,80934,26708
VW,Polo,1.0,Petrol,1998,97043,3036
Toyota,Yaris,1.0,Petrol,2001,58770,5438
VW,Passat,1.8,Petrol,2008,84855,12800
VW,Passat,1.6,Diesel,2014,50898,23677
Ford,Focus,1.6,Diesel,1998,152532,3704
Toyota,RAV4,1.8,Hybrid,2001,212899,3981
VW,Golf,1.6,Petrol,2001,140596,3988
Porsche,718 Cayman,2.4,Petrol,1988,256489,1183
BMW,X3,3.0,Petrol,2018,20441,53379
Toyota,Yaris,1.2,Petrol,1986,147185,1145
BMW,M5,4.4,Petrol,1997,172030,9255
Ford,Focus,1.8,Petrol,2005,149956,6094
VW,Passat,1.6,Diesel,2009,134426,9345
Toyota,RAV4,1.8,Hybrid,2010,91688,19491
Toyota,Prius,1.8,Hybrid,2005,41969,16500
VW,Passat,2.0,Petrol,2013,38210,25482
Toyota,Prius,1.0,Hybrid,2012,46972,19023
BMW,X3,2.0,Diesel,2018,27389,44018
VW,Polo,2.0,Petrol,1995,128234,2778
VW,Passat,1.4,Diesel,2008,112309,9705
VW,Polo,1.4,Petrol,1984,225099,489
Porsche,Cayenne,2.6,Diesel,2003,105361,15069
Ford,Focus,1.4,Petrol,2005,97979,8039
Ford,Mondeo,1.6,Petrol,2016,40104,26053
VW,Passat,2.0,Petrol,1993,158259,2822
Porsche,718 Cayman,4.0,Petrol,2018,20634,70913
BMW,Z4,2.0,Petrol,2010,98644,14728
Ford,Focus,2.0,Petrol,1991,176358,2025
Ford,Mondeo,1.8,Diesel,1998,69223,7267
BMW,X3,3.0,Petrol,2008,20860,27342
Toyota,RAV4,2.0,Petrol,2009,59936,19881
VW,Polo,1.4,Petrol,2012,58214,11916
Ford,Fiesta,1.4,Petrol,2020,33832,22982
VW,Golf,1.2,Diesel,2009,104436,8174
BMW,Z4,2.0,Petrol,1992,249377,1246
Porsche,Cayenne,2.6,Petrol,2003,143603,10667
Ford,Mondeo,1.8,Diesel,2007,115932,9481
Ford,Fiesta,1.4,Petrol,2016,61363,14854
VW,Polo,2.0,Petrol,2016,17810,23636
Toyota,RAV4,1.8,Hybrid,2021,8120,68163
VW,Polo,2.0,Petrol,1990,142888,1771
Toyota,Yaris,1.0,Petrol,2009,68094,8721
Ford,Mondeo,2.0,Diesel,2016,51724,28482
VW,Polo,1.0,Petrol,1998,224106,1062
Ford,Fiesta,1.0,Petrol,2009,83796,6768
Toyota,RAV4,2.2,Hybrid,2012,91325,24685
VW,Passat,2.0,Diesel,1997,173089,3416
Ford,Focus,2.0,Diesel,2013,75451,20153
Toyota,Prius,1.0,Hybrid,2006,103766,8671
Ford,Mondeo,1.6,Diesel,2014,82221,18224
VW,Passat,1.6,Diesel,1985,19000,4129
Toyota,RAV4,2.4,Hybrid,2012,94338,25232
Porsche,Cayenne,2.6,Diesel,2019,20147,76182
VW,Polo,1.2,Diesel,2018,37411,19649
Toyota,Yaris,1.2,Petrol,2004,179016,2914
Porsche,718 Cayman,2.0,Petrol,1999,206584,3542
Toyota,Prius,1.0,Hybrid,1996,87664,5001
Ford,Mondeo,1.8,Diesel,2016,29439,30886
Ford,Focus,1.0,Diesel,2006,120770,6429
Ford,Mondeo,1.6,Diesel,1998,246137,1614
Toyota,Prius,1.4,Hybrid,2012,72136,19139
Ford,Focus,2.0,Diesel,2001,147478,5272
BMW,Z4,2.4,Petrol,1997,149908,4558
BMW,M5,4.4,Petrol,1997,66783,20664
Ford,Mondeo,1.4,Diesel,2020,18929,37720
VW,Golf,1.4,Diesel,2013,53405,16365
VW,Golf,1.4,Diesel,2001,136439,4049
VW,Polo,1.2,Petrol,2001,110779,3670
VW,Golf,2.0,Petrol,1991,188856,1528
Toyota,Yaris,1.0,Hybrid,2013,12867,19025
Ford,Focus,2.0,Diesel,1994,162098,2930
Ford,Mondeo,1.6,Diesel,2013,79521,17370
Ford,Mondeo,1.8,Diesel,2011,97523,14195
VW,Golf,1.6,Petrol,1994,104541,3304
VW,Golf,1.6,Petrol,2016,57451,19835
Toyota,Yaris,1.2,Petrol,2003,104794,4947
Toyota,Yaris,1.0,Petrol,2002,227469,1517
VW,Passat,1.8,Diesel,2006,81107,12073
Ford,Fiesta,1.2,Petrol,2008,79566,7142
Toyota,Yaris,1.4,Petrol,2007,85068,8043
Toyota,RAV4,2.0,Hybrid,2000,123838,8299
Toyota,RAV4,2.2,Hybrid,2014,66511,33453
VW,Passat,1.6,Diesel,1999,207639,2584
BMW,X3,3.0,Diesel,1990,150375,3510
VW,Passat,1.4,Diesel,2013,70458,18256
Toyota,Prius,1.8,Hybrid,2016,44550,33820
VW,Passat,1.6,Petrol,2012,53390,19428
Porsche,Cayenne,2.6,Diesel,2015,46563,50028
Ford,Fiesta,1.0,Petrol,2002,184586,1916
Ford,Fiesta,1.2,Petrol,2004,160915,2933
Toyota,Yaris,1.0,Hybrid,2022,5179,36086
Toyota,Yaris,1.4,Hybrid,2003,181179,3468
VW,Polo,1.4,Petrol,2019,23181,23449
Toyota,Yaris,1.4,Hybrid,2016,66611,19942
VW,Golf,1.8,Hybrid,1999,105901,5810
Ford,Focus,1.4,Diesel,2014,24652,24721
Toyota,Yaris,1.0,Petrol,1995,255196,737
VW,Polo,1.0,Petrol,2014,24579,14089
Toyota,RAV4,1.8,Petrol,2021,21354,52908
VW,Golf,2.0,Petrol,1991,117615,2741
Ford,Focus,2.0,Petrol,1999,135077,4855
Toyota,RAV4,2.0,Hybrid,2006,94325,15441
Ford,Fiesta,1.4,Petrol,2010,96320,7831
VW,Golf,1.6,Petrol,1990,137231,1967
Toyota,RAV4,2.2,Hybrid,2015,35448,43415
Toyota,RAV4,2.0,Hybrid,1995,142544,5129
BMW,M5,4.0,Petrol,2012,46755,60859
VW,Polo,1.6,Petrol,2001,97700,4668
BMW,M5,5.0,Petrol,2016,42059,91415
VW,Polo,1.6,Petrol,2012,48576,13537
VW,Polo,1.4,Petrol,2006,76691,7067
Toyota,RAV4,1.8,Hybrid,2017,15473,50215
Ford,Focus,2.0,Petrol,2000,110549,6273
Ford,Fiesta,1.0,Petrol,1992,183342,994
Ford,Focus,1.4,Petrol,2012,94259,13169
Ford,Mondeo,1.4,Diesel,2018,42017,28904
VW,Golf,1.2,Petrol,1990,159547,1420
VW,Polo,1.4,Petrol,2000,73749,4833
Toyota,Yaris,1.0,Hybrid,2009,63292,10802
VW,Passat,1.4,Diesel,2013,71904,18080
Ford,Mondeo,1.4,Diesel,2006,159969,5504
Toyota,Yaris,1.2,Petrol,2013,75588,11861
Ford,Mondeo,1.4,Diesel,2018,18334,33119
VW,Polo,1.2,Petrol,1995,175506,1460
Toyota,Prius,1.8,Hybrid,1985,235671,949
VW,Polo,1.0,Petrol,1996,144412,1846
BMW,M5,4.4,Petrol,2008,79613,39453
BMW,M5,4.4,Petrol,2004,108396,24571
Porsche,Cayenne,3.0,Petrol,2013,68093,39031
Ford,Mondeo,1.6,Hybrid,2019,30152,40482
Porsche,911,3.0,Petrol,2015,44761,77091
Toyota,Yaris,1.0,Petrol,2012,52525,11780
Toyota,Yaris,1.0,Petrol,2005,145747,3754
Ford,Mondeo,1.8,Diesel,2016,16626,33172
Ford,Mondeo,1.4,Diesel,1998,155019,3364
Toyota,Prius,1.4,Hybrid,1996,188308,2658
Ford,Focus,2.0,Petrol,2001,72923,8773
VW,Golf,1.4,Diesel,2007,104718,7710
VW,Polo,2.0,Petrol,1992,258967,731
VW,Golf,1.2,Hybrid,2000,168963,3069
Ford,Focus,2.0,Diesel,1993,90439,4786
Toyota,Prius,1.4,Hybrid,1991,213652,1523
Toyota,RAV4,2.2,Hybrid,2012,100268,23140
VW,Golf,2.0,Petrol,2019,26479,32650
VW,Passat,1.4,Diesel,2009,109384,10605
Ford,Focus,2.0,Petrol,2014,39083,25884
VW,Passat,2.0,Petrol,2002,73945,9749
Ford,Fiesta,1.4,Petrol,2008,114007,6011
Toyota,Prius,1.8,Hybrid,2003,125903,8052
VW,Polo,1.4,Petrol,1998,126188,2884
Porsche,911,3.0,Petrol,1990,178957,5344
Ford,Mondeo,1.6,Diesel,1996,118258,4217
Toyota,Yaris,1.4,Hybrid,2004,100476,7076
Ford,Focus,1.0,Petrol,1985,288486,347
VW,Passat,2.0,Diesel,1997,50121,8564
Porsche,911,2.6,Petrol,2003,130068,17702
VW,Golf,1.8,Petrol,1992,135772,2412
VW,Golf,1.8,Petrol,2010,70562,12942
Ford,Focus,2.0,Diesel,2003,139651,6417
Ford,Focus,1.6,Petrol,2004,106068,7575
Porsche,718 Cayman,2.0,Petrol,2019,18978,54090
VW,Polo,1.6,Diesel,2000,85142,5015
Ford,Mondeo,1.6,Diesel,2012,64490,17978
Toyota,Yaris,1.0,Petrol,1993,121417,2045
Ford,Focus,1.0,Petrol,2018,19640,26712
Toyota,RAV4,2.2,Hybrid,2009,99740,19019
Toyota,Yaris,1.4,Petrol,2004,159279,3718
Ford,Focus,1.4,Petrol,1996,86718,4782
Porsche,718 Cayman,4.0,Petrol,1993,150186,5438
BMW,M5,4.4,Petrol,2019,20736,118474
VW,Polo,1.4,Petrol,1986,70039,1948
BMW,X3,3.0,Diesel,2017,30285,49606
Toyota,Yaris,1.2,Petrol,2016,38795,18326
Toyota,RAV4,2.4,Hybrid,1995,203197,3359
Toyota,RAV4,2.4,Petrol,2011,80839,21637
VW,Golf,1.4,Petrol,2002,174535,3010
VW,Passat,1.6,Petrol,1993,131899,3125
Ford,Focus,1.0,Petrol,2021,14063,33627
BMW,Z4,2.4,Petrol,1996,149048,4294
VW,Polo,1.0,Petrol,1990,145249,1229
Toyota,Prius,1.0,Hybrid,2007,61357,12446
Toyota,Yaris,1.2,Hybrid,1997,13000,7167
Ford,Fiesta,1.4,Petrol,1986,263206,384
Toyota,Yaris,1.4,Petrol,2010,52847,12174
VW,Passat,1.6,Diesel,2009,100782,12083
VW,Polo,1.0,Petrol,1999,193458,1491
Toyota,Yaris,1.2,Petrol,1997,174912,1892
Ford,Mondeo,2.0,Hybrid,1998,169431,4074
Toyota,Prius,1.0,Hybrid,1993,269373,882
BMW,X3,2.0,Diesel,2009,129764,11999
Toyota,Prius,1.0,Hybrid,1998,104481,5060
Ford,Mondeo,2.0,Diesel,2008,105468,11556
BMW,M5,4.0,Petrol,2000,153596,12574
Ford,Fiesta,1.4,Petrol,1993,84644,2739
VW,Golf,1.6,Petrol,2001,205054,2309
VW,Polo,1.0,Petrol,1993,159497,1335
Ford,Focus,1.8,Petrol,2002,166994,4332
VW,Polo,1.4,Petrol,1997,143465,2352
Ford,Mondeo,1.6,Diesel,2015,59927,22621
Porsche,718 Cayman,4.0,Petrol,2005,132662,13935
Ford,Fiesta,1.4,Petrol,2014,54142,13615
Ford,Fiesta,1.0,Petrol,2001,92561,3732
Ford,Mondeo,1.6,Petrol,2010,80723,13432
Toyota,Yaris,1.2,Petrol,1985,73419,1861
Ford,Focus,1.6,Petrol,1995,84529,4856
Ford,Focus,1.6,Diesel,2022,5750,49870
Toyota,RAV4,2.4,Hybrid,2008,144529,13154
Toyota,RAV4,1.8,Hybrid,2014,45184,34655
VW,Polo,1.0,Petrol,1992,214329,777
Toyota,Prius,1.8,Hybrid,1997,188455,3218
VW,Polo,1.4,Petrol,1994,182166,1394
Toyota,RAV4,2.2,Hybrid,2018,39082,51898
VW,Passat,1.8,Diesel,2001,171268,4296
BMW,M5,4.4,Petrol,2011,78714,48487
VW,Passat,2.0,Diesel,2011,73733,18680
Ford,Mondeo,1.8,Diesel,1997,242305,1659
Ford,Mondeo,1.8,Diesel,2001,166344,4239
Toyota,Yaris,1.2,Hybrid,1990,97463,2633
Ford,Mondeo,1.4,Diesel,2013,50433,19668
Ford,Mondeo,1.4,Diesel,2018,24229,32057
BMW,Z4,2.2,Petrol,2009,74444,17133
Toyota,RAV4,2.2,Hybrid,2016,45462,43702
Ford,Mondeo,1.4,Diesel,2006,89524,9500
VW,Passat,1.6,Petrol,1991,16000,5963
Ford,Mondeo,2.0,Diesel,2022,1487,56459
VW,Golf,1.4,Petrol,2011,87947,10825
Ford,Mondeo,1.6,Diesel,2016,40113,27354
VW,Golf,1.4,Diesel,2000,76717,5902
VW,Passat,1.4,Petrol,1991,269218,769
Toyota,Prius,1.0,Hybrid,2015,48540,23011
Toyota,Prius,1.4,Hybrid,2013,88811,18232
Toyota,Yaris,1.0,Petrol,2002,84781,4880
Toyota,RAV4,2.2,Hybrid,1989,272683,1142
Ford,Mondeo,1.6,Diesel,2018,46461,30075
Toyota,RAV4,1.8,Hybrid,2014,53321,32948
Ford,Mondeo,1.6,Petrol,1994,264924,989
Porsche,Cayenne,4.0,Petrol,2000,145140,10699
Toyota,Prius,1.8,Hybrid,2007,132296,9998
VW,Golf,1.2,Diesel,1997,144909,2682
Ford,Fiesta,1.0,Diesel,1986,138224,1019
Porsche,718 Cayman,4.0,Petrol,1988,219671,2140
VW,Passat,1.4,Diesel,1989,371762,264
VW,Passat,1.4,Diesel,1990,74327,3838
VW,Golf,1.6,Petrol,1989,205047,1037
Ford,Mondeo,1.6,Diesel,2022,7454,48982
VW,Golf,2.0,Diesel,2016,11234,30509
VW,Polo,1.6,Petrol,2010,97296,8531
VW,Golf,2.0,Petrol,2017,44227,25745
VW,Passat,1.4,Diesel,1985,267541,549
BMW,Z4,2.2,Petrol,1997,250431,1806
Ford,Fiesta,1.2,Petrol,1989,149015,1190
Toyota,RAV4,2.0,Hybrid,2004,138340,9666
Toyota,Yaris,1.2,Hybrid,1987,133425,1640
Toyota,Prius,1.0,Hybrid,2001,143411,4571
VW,Polo,1.4,Petrol,2016,40742,17342
BMW,M5,5.0,Petrol,1999,82222,22668
VW,Golf,1.4,Petrol,2012,49674,14925
VW,Polo,1.6,Petrol,2012,66103,12102
VW,Golf,1.6,Petrol,1999,91360,5075
VW,Polo,2.0,Petrol,1990,215167,954
BMW,M5,4.0,Petrol,2006,30902,44836
Porsche,911,3.0,Petrol,2014,65307,63310
Toyota,Prius,1.8,Hybrid,2018,19017,44797
Toyota,Yaris,1.4,Hybrid,2007,143360,6209
BMW,Z4,2.4,Petrol,2021,4915,60317
BMW,Z4,3.0,Petrol,1993,260043,1477
Ford,Focus,1.4,Petrol,2015,36919,23449
VW,Polo,1.4,Petrol,2001,105306,4129
Toyota,Prius,1.8,Hybrid,1992,231649,1569
Ford,Focus,1.6,Petrol,1994,74472,4869
Toyota,Yaris,1.2,Petrol,2012,102514,9168
VW,Polo,1.0,Petrol,1997,134735,2132
Ford,Focus,1.6,Petrol,1992,175881,1944
Porsche,Cayenne,3.0,Petrol,2006,126718,16004
Toyota,Prius,1.8,Hybrid,2008,86326,15075
Ford,Fiesta,1.4,Petrol,1992,245794,673
VW,Passat,1.6,Diesel,1988,210194,1213
BMW,M5,4.0,Petrol,1984,89953,7064
Ford,Fiesta,1.0,Petrol,2006,113610,4460
VW,Passat,2.0,Diesel,2003,106761,8665
Ford,Fiesta,1.4,Petrol,1992,280925,485
Ford,Fiesta,1.2,Petrol,2018,29268,19119
Ford,Mondeo,1.8,Diesel,2014,21377,28286
Ford,Focus,1.4,Petrol,2010,67366,13881
Toyota,Yaris,1.4,Hybrid,2018,26795,29102
BMW,Z4,2.4,Petrol,2018,15028,46830
Ford,Focus,1.4,Petrol,1995,144557,2883
VW,Passat,1.6,Diesel,2011,53818,19033
Ford,Fiesta,1.0,Petrol,2005,165149,2762
BMW,M5,4.4,Petrol,1995,157046,9184
Ford,Mondeo,1.8,Diesel,2002,48312,10853
Porsche,911,2.2,Petrol,1998,172529,8241
VW,Polo,1.2,Petrol,2018,33619,19135
VW,Passat,2.0,Diesel,2001,210531,3218
Porsche,911,2.2,Petrol,1995,170716,6851
Ford,Focus,1.0,Petrol,2005,102319,6582
Ford,Focus,1.6,Petrol,1992,83482,4005
BMW,Z4,2.0,Petrol,2003,184605,4636
Toyota,Yaris,1.2,Hybrid,2011,68974,13024
Toyota,Yaris,1.2,Hybrid,2007,87731,8770
Toyota,Prius,1.4,Hybrid,2003,91908,9156
VW,Polo,1.2,Petrol,2009,115991,6014
VW,Passat,2.0,Diesel,2003,99554,9137
VW,Golf,2.0,Petrol,1993,210355,1445
VW,Golf,2.0,Diesel,1994,64859,5119
BMW,X3,2.0,Petrol,2014,53491,27457
Ford,Fiesta,1.4,Petrol,2020,16418,25347
Toyota,Prius,1.8,Hybrid,1995,98303,5816
Ford,Fiesta,1.2,Petrol,2003,144351,3143
VW,Polo,1.4,Petrol,1991,130465,1749
Ford,Focus,1.6,Petrol,1992,289432,694
Porsche,911,2.6,Petrol,2006,129563,21707
Ford,Mondeo,1.6,Petrol,1999,87358,6159
Toyota,Prius,1.4,Hybrid,1992,187590,2049
VW,Polo,1.2,Petrol,2002,90194,4561
Toyota,Yaris,1.4,Petrol,2003,23923,9067
Toyota,Prius,1.8,Hybrid,1988,206162,1512
Porsche,718 Cayman,4.0,Petrol,2013,40361,45357
Toyota,RAV4,1.8,Hybrid,2011,113594,17732
VW,Golf,1.8,Hybrid,1993,206465,1702
Porsche,718 Cayman,2.4,Petrol,2016,26038,46644
Toyota,Yaris,1.0,Petrol,1986,341124,178
Ford,Mondeo,1.4,Diesel,1996,147377,3134
Toyota,Yaris,1.2,Petrol,2005,69909,7229
Ford,Focus,1.6,Diesel,2006,83961,10659
VW,Golf,1.8,Hybrid,2016,27600,30239
Toyota,RAV4,1.8,Hybrid,2014,63889,30785
Toyota,RAV4,1.8,Hybrid,1992,189028,2697
Toyota,RAV4,2.0,Hybrid,1990,120842,4361
VW,Golf,1.4,Hybrid,2003,166709,4126
BMW,X3,2.0,Diesel,2013,49046,27731
Toyota,Prius,1.4,Hybrid,1998,229464,2106
Porsche,718 Cayman,2.0,Petrol,2014,91341,24511
VW,Polo,1.4,Petrol,1995,127882,2330
BMW,M5,4.4,Petrol,1994,179812,7091
Ford,Fiesta,1.2,Petrol,2008,43714,9014
Porsche,Cayenne,3.5,Diesel,1998,83442,14668
VW,Passat,1.6,Diesel,2002,135733,5800
VW,Golf,1.4,Petrol,2018,13954,27379
VW,Polo,1.2,Petrol,1994,243498,746
BMW,X3,2.0,Diesel,2016,47735,34147
Porsche,718 Cayman,4.0,Petrol,1995,154629,5991
VW,Golf,1.6,Diesel,1998,161333,2893
Ford,Fiesta,1.2,Petrol,1998,156867,2033
Toyota,RAV4,2.0,Hybrid,2022,9373,76303
VW,Passat,1.4,Diesel,2002,115000,6374
VW,Golf,1.8,Hybrid,2013,56706,20768
Ford,Mondeo,1.6,Diesel,1993,138312,2951
Toyota,Yaris,1.2,Petrol,2020,20558,26565
Porsche,Cayenne,2.6,Diesel,2001,71217,16789
Toyota,RAV4,2.0,Hybrid,2018,27542,52923
Ford,Mondeo,1.8,Diesel,2012,39923,22247
Porsche,718 Cayman,2.4,Petrol,1998,252380,2395
Toyota,RAV4,2.0,Hybrid,1993,113342,5640
Ford,Focus,1.4,Petrol,1993,106066,3403
Toyota,RAV4,2.2,Hybrid,2014,39814,39577
Toyota,RAV4,2.4,Hybrid,2002,178115,6664
Toyota,Prius,1.8,Hybrid,1989,234308,1254
Toyota,Prius,1.8,Hybrid,2014,51034,28437
Toyota,RAV4,2.0,Petrol,2003,148838,6923
Toyota,RAV4,2.0,Hybrid,2010,116749,17071
VW,Passat,1.4,Petrol,1991,318300,482
Ford,Focus,2.0,Diesel,2005,70202,12248
Toyota,RAV4,2.4,Hybrid,2010,52925,29212
VW,Passat,2.0,Diesel,1998,112170,5962
Ford,Fiesta,1.2,Petrol,2003,203556,1901
Ford,Mondeo,1.8,Diesel,2009,32884,18987
VW,Golf,1.2,Petrol,2005,113136,5586
VW,Golf,1.4,Petrol,1985,269090,414
Toyota,RAV4,2.0,Petrol,2015,31102,35379
Toyota,Yaris,1.4,Hybrid,2021,10276,38901
Ford,Mondeo,1.8,Diesel,2013,5000,28875
Ford,Focus,1.0,Petrol,2018,26840,25660
Toyota,RAV4,2.2,Hybrid,2007,69206,20606
VW,Polo,1.6,Petrol,2014,63006,14112
VW,Polo,1.4,Petrol,2016,45610,16837
Toyota,Yaris,1.0,Hybrid,2000,86902,5050
VW,Passat,2.0,Petrol,2001,78868,8819
BMW,Z4,2.4,Petrol,2017,57884,34025
Ford,Mondeo,1.4,Diesel,1993,196763,1688
VW,Golf,1.6,Hybrid,2003,110332,6919
VW,Golf,1.4,Diesel,1991,289646,534
VW,Polo,1.6,Petrol,2011,72003,10885
VW,Passat,1.8,Petrol,2018,42360,32909
Ford,Mondeo,1.8,Diesel,2015,50432,25483
Toyota,RAV4,1.8,Petrol,2003,171088,5458
VW,Golf,1.8,Petrol,2015,40271,21892
Toyota,Yaris,1.0,Hybrid,2013,69437,13543
Toyota,RAV4,2.2,Hybrid,2015,28056,45312
VW,Passat,2.0,Diesel,1985,287515,544
BMW,X3,2.4,Diesel,2001,144238,6871
Toyota,RAV4,2.4,Hybrid,1993,140537,4997
