Manufacturer,Engine size,Fuel type,Mileage,Price
1,2.0,0,88401,12235
2,2.0,2,31715,50347
1,2.0,2,115289,13471
1,1.8,2,74439,10755
1,1.0,0,30415,19461
0,3.0,0,150375,3510
4,2.0,2,124215,3401
3,1.4,2,32667,21935
4,2.0,0,7782,57759
3,1.0,2,70212,4719
3,1.0,1,56508,12895
4,1.8,2,261776,857
2,2.6,0,20147,76182
4,1.6,2,119964,2478
1,2.0,0,152497,2107
4,1.6,2,23068,27848
2,2.2,2,98571,8129
2,3.0,2,178957,5344
4,2.0,2,74235,15517
3,2.2,1,50676,45234
4,2.0,0,64859,5119
4,1.6,0,85142,5015
3,2.0,1,150156,7193
4,1.2,2,127723,3223
1,2.0,0,75930,18620
3,1.4,1,72136,19139
4,1.6,0,204379,2328
3,1.0,1,121904,5068
1,1.4,2,144214,3304
3,2.2,1,100268,23140
4,2.0,2,100014,5486
4,1.2,2,93242,7608
1,1.6,2,27362,28322
3,1.2,2,150704,2830
1,1.6,0,137896,4132
1,2.0,2,71933,19655
4,1.4,2,23181,23449
3,1.0,2,14288,23473
4,1.6,0,40807,13043
2,2.2,2,197665,4159
0,2.0,2,107786,11272
4,2.0,1,158502,2898
3,2.4,2,65742,11508
4,1.4,2,127882,2330
0,5.0,2,141846,20197
4,1.4,2,253413,764
4,1.4,0,38275,25058
3,1.2,2,9500,9702
1,2.0,0,162098,2930
2,4.0,2,315780,1261
3,1.8,1,86326,15075
1,1.4,2,64052,7010
1,1.6,0,48378,22764
1,2.0,2,265644,1267
1,1.4,1,127386,2735
4,1.6,1,149511,2984
4,1.8,1,45478,25455
1,1.2,0,17474,26189
3,1.2,2,97903,7263
4,1.8,2,220298,2284
3,2.2,1,130265,12350
0,4.0,2,35712,84916
4,2.0,2,91647,6229
4,2.0,2,59114,6608
3,1.2,2,174912,1892
4,2.0,2,141499,5406
0,3.0,0,136897,3913
4,1.6,0,66410,16414
1,1.6,0,39007,31463
4,1.4,1,67009,11482
1,1.4,2,142454,5295
4,1.2,2,143978,3236
0,2.4,0,101946,11639
1,1.8,2,160937,4827
4,1.6,2,213048,1572
1,1.4,2,89346,7205
4,2.0,2,60192,14062
1,1.4,2,131412,4024
3,1.2,2,105738,4300
3,1.4,1,193852,1588
1,1.4,2,113037,2545
1,1.6,1,21913,39675
4,1.0,0,20186,18516
4,1.8,2,13747,35512
0,2.2,2,44338,14903
1,1.8,0,90545,10694
4,1.4,2,109380,2685
4,1.0,2,43193,13510
1,2.0,0,20508,44695
1,2.0,0,182754,2784
3,1.4,1,132042,6331
3,2.2,1,111548,7829
3,1.8,1,63768,18782
0,5.0,2,58820,72066
1,1.6,2,79437,5031
1,1.4,0,21689,35075
3,1.8,1,113809,7954
3,2.4,1,114858,13594
4,2.0,0,234644,1243
3,1.8,1,49042,28792
1,1.8,0,104544,6058
3,1.0,2,12783,23662
4,2.0,2,193710,1464
3,2.2,1,93056,8969
3,2.4,1,180527,5713
2,4.0,2,139842,5532
1,1.6,0,171716,3156
0,5.0,2,221986,4268
4,1.4,2,146951,1434
3,1.4,1,110159,8010
4,1.0,2,25353,17134
1,1.8,0,32884,18987
0,4.4,2,121512,27166
1,1.8,2,38101,30169
4,1.6,2,188501,2498
4,1.6,2,93297,5151
1,1.2,2,58798,1770
3,1.4,1,73872,4100
1,1.2,2,108120,4456
4,1.6,2,124529,2656
1,1.2,2,92067,4102
0,2.0,2,241081,1258
1,1.4,2,105952,8104
1,1.2,2,14875,23663
4,1.2,2,155201,2584
4,1.0,0,88166,7560
1,2.0,0,128006,3133
3,1.0,1,42803,11447
1,1.0,2,168148,1535
1,1.6,2,253067,648
4,2.0,2,151349,3443
4,1.8,2,159277,3881
4,1.4,2,269218,769
3,1.4,2,142566,3988
1,1.0,2,101470,6196
3,1.4,1,261605,704
1,1.4,1,94408,15642
1,1.0,2,174926,1893
1,1.2,2,253878,578
4,2.0,2,54598,15580
4,1.6,2,25526,27467
3,1.4,2,25267,17527
3,2.4,1,165700,3112
1,1.6,2,84529,4856
1,1.0,2,48101,11950
3,1.8,1,110892,8692
3,1.2,2,205747,1354
1,1.4,0,82462,13933
3,2.0,1,170237,4983
1,1.2,2,174683,786
0,4.0,2,214739,3120
3,2.2,1,311342,1181
3,1.8,1,189974,3733
4,2.0,2,4229,42054
1,1.8,0,59936,15183
2,4.0,2,40361,45357
3,1.4,1,154365,3315
1,1.6,0,83961,10659
3,2.2,1,133730,9839
4,1.6,0,35019,22813
4,2.0,2,73586,8627
3,1.4,2,97286,4046
0,4.0,2,22013,119898
1,1.4,0,7810,42784
4,1.4,0,71904,18080
1,1.2,2,202093,925
3,2.2,1,272683,1142
4,1.2,1,122762,5099
4,2.0,2,122133,8391
3,2.0,1,77772,21186
0,2.2,2,169327,5922
4,1.0,2,34229,17406
4,1.2,2,75044,10252
3,1.0,1,32170,31004
1,1.2,1,75266,9435
0,3.0,0,101501,13055
1,2.0,2,61298,17106
1,2.0,0,70202,12248
3,1.4,1,126743,6628
1,1.4,2,187363,1442
1,1.8,2,98420,6090
0,2.2,2,262082,1161
3,1.0,2,12792,7617
1,1.2,2,205423,1531
0,2.4,2,57884,34025
4,1.4,0,82676,12034
2,4.0,2,67288,25651
0,2.4,0,87995,13757
4,1.2,2,202440,1675
4,1.4,0,36967,31473
1,1.4,0,131404,5680
2,3.5,2,157266,13499
3,1.4,1,38251,25363
1,1.6,0,43895,28580
0,2.0,2,53491,27457
2,4.0,2,5000,65380
4,1.4,2,14043,28165
0,4.0,2,91165,37081
3,2.0,1,259192,1613
1,1.4,0,143716,4215
0,3.0,2,9500,21202
3,2.0,1,93930,16553
3,2.4,1,105587,9769
1,1.4,0,57649,21472
1,2.0,0,174141,6733
3,1.8,1,101693,18128
1,1.2,2,287457,422
1,1.8,2,38689,30063
4,2.0,0,8087,43287
1,1.8,0,69223,7267
3,1.8,1,156820,6713
4,1.6,0,108662,8167
1,1.6,0,10870,36852
2,3.0,2,222539,3410
3,1.2,2,61838,12159
3,1.4,1,77436,13286
4,1.4,2,224581,871
1,1.6,2,96108,14849
4,1.4,2,189363,1898
4,2.0,2,20155,21210
4,1.4,2,155879,2696
1,1.6,2,80723,13432
3,1.0,2,19453,21352
1,1.0,2,125866,4339
2,2.4,2,92725,11175
4,1.8,0,64697,18821
1,1.2,2,166014,2459
4,1.4,2,121447,5057
4,1.4,1,197146,1630
3,1.4,1,107081,7701
1,1.0,2,149380,4878
4,2.0,2,141040,3276
1,1.0,2,145745,3849
1,2.0,2,192045,2469
0,2.4,0,144238,6871
3,1.0,2,26137,18004
4,2.0,0,97001,8784
1,1.4,2,207999,1679
1,2.0,0,46986,25671
4,1.6,2,117653,5103
0,2.4,2,95436,10873
3,1.8,1,16431,55491
4,1.8,2,298113,621
4,1.8,2,8397,28548
2,2.4,2,135042,9909
0,3.0,2,77844,29164
0,2.0,0,104527,14548
3,2.0,1,94325,15441
3,1.2,1,47924,20806
0,2.4,2,195638,3092
1,1.4,0,87259,7677
1,1.4,2,280925,485
1,2.0,0,51724,28482
1,1.0,2,85335,11093
3,1.8,1,221068,3461
4,1.6,2,192142,2587
0,2.0,2,218545,1886
4,1.2,2,178757,1735
4,2.0,0,112623,6224
1,2.0,0,112247,8994
1,2.0,0,95536,13285
3,1.8,1,23214,36863
4,2.0,0,186903,3178
3,2.2,2,172966,3484
0,4.0,2,122888,11515
2,3.0,2,59076,47240
0,2.2,2,172095,2599
1,2.0,1,28243,45758
1,1.6,2,45204,29130
3,2.2,1,7694,66097
4,1.0,2,144169,2414
4,1.4,2,69950,7682
2,3.0,2,75374,48458
1,2.0,0,93406,6117
3,1.4,1,133563,5121
4,2.0,2,112462,3583
4,1.2,2,138063,3393
1,1.2,2,33969,18606
1,1.0,2,71409,9994
4,1.6,0,278872,963
4,1.0,2,68872,4822
3,1.8,1,91023,8232
4,1.2,2,294369,272
4,1.4,2,143465,2352
1,1.4,0,164874,3099
3,2.2,1,48900,42787
3,1.4,1,89908,3431
3,1.4,1,32938,31962
3,1.8,2,132672,6123
3,2.0,2,67101,23171
3,2.2,1,178569,3985
2,2.4,2,246989,2355
1,1.8,1,177356,2139
3,1.2,1,168805,1713
4,1.6,0,77547,5491
1,1.4,2,54142,13615
1,2.0,0,83311,15630
3,1.0,1,18083,35874
1,1.4,2,67643,7823
3,1.2,1,28673,28494
0,5.0,2,42356,43828
1,1.6,2,135618,6832
4,1.4,2,36718,26271
3,1.0,1,19572,22410
4,1.8,2,125327,7611
1,1.2,2,55959,14238
4,1.2,2,85901,9789
0,2.4,0,128970,5943
1,1.8,0,203586,2516
2,2.6,2,228766,3912
4,1.6,2,155998,4592
3,1.4,1,156440,3062
4,1.8,2,98573,4472
0,2.0,0,30685,43196
4,2.0,0,51044,30220
3,1.0,1,237489,1655
1,2.0,0,49974,30780
1,1.2,2,11541,25748
4,1.6,2,178764,2989
1,1.8,0,160925,4150
4,2.0,0,244304,1300
4,1.4,2,158028,2088
0,3.0,2,60108,17692
4,1.4,2,19166,27395
3,1.0,1,73789,6723
3,2.4,1,87154,20341
3,1.8,1,55761,24157
0,4.4,2,117191,22991
4,2.0,0,173089,3416
1,1.8,0,50842,27170
3,1.0,1,200134,2166
1,1.4,2,91093,8691
1,1.6,1,44722,25121
1,1.2,2,160915,2933
3,1.0,1,187437,2956
1,1.0,0,166171,3900
1,1.4,2,103983,10044
3,1.4,1,46052,25864
1,1.0,2,22191,13015
3,2.0,1,108302,13936
1,1.2,2,66436,11642
4,1.6,2,162092,4988
1,2.0,2,190008,2513
2,2.0,2,27744,48185
2,3.0,0,14658,78873
0,2.4,0,184904,1798
4,1.4,2,44859,10607
3,1.4,1,32176,39212
4,1.6,2,84142,13978
1,1.6,0,30215,31274
1,1.4,0,143966,1962
1,1.2,0,18077,24419
4,1.6,0,256568,609
4,2.0,0,221104,728
4,1.8,2,151004,2606
4,2.0,2,170237,2340
3,2.0,1,151702,6644
1,1.4,0,38211,27663
3,2.0,1,123838,8299
3,2.2,1,99740,19019
1,1.4,2,31550,31591
4,1.8,2,204831,1439
3,1.4,2,116826,8895
4,2.0,2,75629,10793
3,1.4,2,163275,1973
0,3.0,0,203940,1701
4,1.8,0,174542,1537
4,1.4,2,87947,10825
2,3.0,2,54406,45594
1,1.4,2,22587,22077
4,1.2,2,127426,1611
4,1.6,2,76984,8060
0,3.0,2,127972,6493
3,1.0,1,174374,5273
3,1.0,2,52525,11780
1,1.2,2,39796,12050
3,2.4,1,141717,8438
0,2.4,0,31766,50267
1,2.0,1,140940,6790
3,1.0,1,125282,3537
4,1.0,0,207339,1480
1,1.0,2,97557,8897
4,1.6,2,179107,1339
3,1.0,1,47048,20325
4,1.8,0,103016,13477
1,1.0,2,13497,33729
2,3.0,2,85258,26589
3,1.4,1,138391,5655
3,1.2,1,39516,19163
3,1.8,1,68833,21350
2,3.0,2,60300,29432
4,2.0,0,167457,1966
1,1.4,2,232121,693
1,1.0,1,85131,12472
4,1.4,2,260477,404
4,2.0,2,65083,4687
4,1.4,0,8366,30212
4,2.0,2,36346,15245
4,1.2,2,75272,2273
0,5.0,2,152949,6788
1,1.2,2,144351,3143
1,1.8,0,60696,14971
3,1.0,1,9787,40087
4,1.6,2,135839,2673
0,2.0,2,113696,7726
4,2.0,2,134878,5867
1,1.6,0,269084,1141
4,1.2,0,76244,12200
3,1.0,1,206633,1127
3,1.0,1,162881,1757
4,1.2,2,81447,8033
2,4.0,2,84406,21357
3,1.0,1,184975,3241
4,1.2,2,198793,1276
1,1.4,0,196763,1688
1,1.8,0,93986,15566
2,2.0,2,206584,3542
4,1.2,2,188493,2642
4,1.0,2,143595,2963
1,1.4,2,84644,2739
3,1.8,1,186047,3862
4,1.6,2,180293,2415
0,2.4,2,143474,3932
3,2.2,1,70710,21806
3,1.4,1,51588,28557
0,3.0,2,55630,25869
3,1.0,1,50482,16290
4,1.6,0,172795,3773
4,2.0,0,130619,7715
3,2.4,2,33955,46559
0,2.0,2,42759,7873
3,2.4,2,93805,19746
4,1.2,2,321290,266
1,1.4,0,146613,3183
2,3.5,2,54382,40326
3,1.4,2,117252,1913
1,1.2,2,138809,1578
0,2.4,2,15028,46830
4,1.0,0,90781,5318
4,1.6,0,94297,8321
2,4.0,2,108834,25878
4,1.2,2,42711,12990
3,2.0,1,58239,41113
4,1.8,0,70262,22156
3,1.4,2,57164,18889
1,1.2,2,210126,861
1,2.0,0,58911,18240
2,3.0,2,68093,39031
1,1.6,2,214376,1586
3,1.4,1,116321,4794
4,1.4,2,145350,2572
4,1.6,2,120820,6083
3,1.8,1,102206,15805
4,1.8,0,56367,13948
3,1.8,2,54043,27332
1,2.0,0,232431,1791
3,1.2,1,140745,3681
2,2.6,2,158481,15038
4,1.2,2,32728,19235
3,2.0,1,173913,5518
1,1.8,2,155687,4453
4,1.4,0,145901,1623
0,5.0,2,53645,25633
3,1.4,1,58413,20946
1,1.6,2,66163,18269
4,1.6,2,99701,7337
3,1.4,1,188308,2658
4,2.0,2,111586,2869
4,1.4,0,113197,5542
4,1.8,2,189798,1756
4,2.0,2,29084,25359
4,1.2,2,139884,3713
4,1.4,0,90765,13885
4,2.0,0,124610,8086
4,1.0,2,7799,20141
1,1.0,1,162550,2207
4,1.6,0,142700,5863
1,2.0,2,236635,1356
1,2.0,0,105468,11556
4,1.8,2,21444,34750
3,2.2,2,20840,54875
3,1.4,1,137724,7391
3,1.4,1,67769,15158
2,3.0,2,36704,41542
4,1.6,0,206193,1755
0,3.0,2,16353,63494
1,2.0,0,139651,6417
4,1.4,2,29749,5167
1,2.0,0,87542,11515
4,1.6,2,22653,27912
1,1.2,2,147465,1472
2,3.5,0,1500,104240
1,1.4,0,154757,2114
1,1.2,2,177417,1600
1,1.2,2,75848,8372
3,1.4,1,20700,32186
0,3.0,2,153782,3309
4,1.0,2,214329,777
1,1.4,2,45386,17560
3,1.2,1,260847,983
1,1.0,2,97817,5014
3,2.0,1,78262,21115
1,1.4,0,181389,2543
4,1.4,2,46554,15660
1,1.0,2,44697,16552
4,2.0,2,84852,4550
1,2.0,0,66451,19843
3,1.0,1,98204,9071
3,1.8,1,59434,16907
4,1.8,2,122489,4879
4,1.6,0,133863,3723
3,1.4,1,10276,38901
1,1.0,2,53211,3726
3,1.2,1,46358,17199
1,1.6,2,105403,9940
4,1.6,2,34434,20572
1,1.4,1,20791,24315
1,2.0,0,30339,34622
0,2.0,0,229375,1650
4,1.8,2,123334,7231
1,1.4,2,106734,4256
0,2.2,2,54671,31105
4,1.2,2,178696,1057
3,2.4,1,120468,9331
3,1.8,1,155737,4087
0,5.0,2,80926,29863
0,3.0,2,18677,51332
4,2.0,2,33870,20196
3,2.4,1,26632,58275
1,1.4,2,23489,18674
3,2.4,1,66516,26761
3,1.2,2,46338,13410
0,5.0,2,131670,19169
4,1.2,0,30223,25994
3,1.4,1,166963,2454
1,1.0,2,331165,170
3,1.4,1,17843,37357
4,1.2,2,103123,6196
1,1.4,2,231782,874
2,2.6,2,150311,5543
1,2.0,2,136930,6246
4,1.4,0,19171,32584
4,2.0,2,107300,4821
4,1.4,2,73749,4833
3,2.0,1,34532,58082
1,2.0,1,160457,5065
4,2.0,2,258967,731
2,2.0,2,101766,15235
0,2.4,2,56202,18875
1,1.8,2,279656,863
4,1.6,2,98757,5293
4,1.6,0,36899,27007
4,1.2,2,16261,24105
3,1.8,1,134560,9187
0,2.0,0,192345,2996
1,1.4,2,17934,33790
3,1.8,2,19030,41045
4,1.4,0,116002,6762
3,1.0,1,141981,5283
1,1.2,2,155142,3076
0,2.2,2,133258,9719
1,1.8,0,297635,585
4,1.2,2,50426,9219
4,1.4,0,109384,10605
4,1.6,1,110332,6919
3,1.8,1,148945,4043
3,1.8,1,121201,6837
2,3.5,2,144961,10698
3,1.8,1,121012,10918
1,1.6,2,95478,13955
4,1.4,2,136183,4251
3,1.0,2,80408,8576
4,1.8,2,27009,18116
4,1.6,2,58040,18486
0,2.0,0,58451,29860
1,1.4,0,66272,13608
1,1.6,0,17129,25771
3,1.4,1,88811,18232
0,4.4,2,172030,9255
0,3.0,0,30285,49606
3,1.4,2,98372,7818
3,1.8,1,28643,53333
4,1.4,2,40742,17342
4,1.6,0,149336,5197
4,1.0,2,150725,2989
1,1.2,2,176537,1010
3,1.0,2,169299,1214
4,1.6,0,257253,1179
0,2.4,2,5685,64221
1,1.8,2,172891,1620
4,1.8,0,37169,28600
3,1.8,1,42527,22950
3,1.8,1,219451,2003
3,1.8,1,206390,3947
3,1.4,2,152378,3223
4,1.6,2,25563,23140
0,5.0,2,256429,2384
1,2.0,0,170060,2080
2,2.2,2,33668,41379
4,2.0,0,37354,28172
3,2.4,1,175805,2339
3,1.4,2,23959,24642
1,1.2,2,212113,1033
0,2.4,2,144738,9898
3,2.0,1,118694,9867
0,2.2,2,120332,6741
0,2.2,2,32319,40706
3,2.2,1,127248,8477
1,1.4,0,155787,2395
3,2.2,1,189507,3626
0,2.2,2,126777,8373
2,2.0,2,169078,3074
1,1.8,0,176575,2301
2,4.0,2,219671,2140
0,5.0,2,215858,5508
4,1.6,2,82771,12244
3,1.4,1,64768,15395
3,1.8,1,49086,36164
4,1.6,0,127627,6477
1,1.6,2,69915,16670
4,1.2,0,150997,3808
3,2.4,1,34815,59423
4,2.0,2,10376,40735
0,4.0,2,123913,19474
1,1.6,0,189248,2715
1,1.2,2,251928,589
0,2.4,0,133087,7027
3,1.0,1,32437,27092
1,2.0,2,86405,14567
0,2.0,2,163280,5557
0,5.0,2,24740,115545
4,2.0,0,84987,16172
1,2.0,0,117678,5063
1,1.0,0,80248,9510
4,1.2,2,79277,6013
1,2.0,0,224907,1585
3,1.0,1,118288,4875
1,1.4,2,179340,2710
1,1.6,0,20246,32777
0,3.0,2,7052,71296
4,1.2,2,90194,4561
4,2.0,2,53944,17368
1,1.6,0,78647,11059
1,1.2,2,114598,3250
1,1.8,0,33896,30100
3,1.0,1,51808,14139
4,1.6,2,69396,11077
3,1.2,1,218765,848
4,1.4,2,198390,1176
4,1.2,0,213686,1098
3,1.8,1,112787,14200
1,1.6,1,46758,26520
4,1.4,2,114415,4893
3,1.2,2,38333,8826
3,1.0,2,142823,1414
4,1.4,2,78921,9714
0,2.0,2,194849,2000
1,1.8,2,166994,4332
4,1.2,2,114202,3971
3,2.0,1,225889,2049
1,1.8,2,23578,37482
0,5.0,2,49117,71680
4,1.6,2,13000,7254
1,1.0,2,51060,12541
3,1.4,1,164524,4859
1,2.0,2,241288,2347
4,1.6,2,88199,5930
0,4.0,2,30277,93686
4,2.0,2,43810,17807
4,1.4,1,111578,4298
1,1.4,0,109403,10036
4,1.4,2,190899,2614
4,2.0,2,116754,10681
1,1.6,0,24200,36976
1,1.4,2,216526,629
1,1.6,0,93083,6209
0,2.4,2,94952,16571
4,1.2,2,33619,19135
4,1.6,2,11252,28589
1,1.8,0,86686,14350
3,1.8,2,71702,5257
4,1.6,0,279453,878
2,2.6,2,129563,21707
3,1.0,1,142066,3799
3,1.8,2,51097,27842
4,1.6,0,184988,3370
0,2.4,0,56012,33224
1,1.4,0,164015,3121
4,1.0,0,98432,4708
1,1.4,1,124109,5627
0,2.0,0,36974,19999
1,1.6,0,124184,5675
1,1.8,0,137030,5763
3,1.0,1,57740,5724
4,1.4,2,220879,842
1,1.4,2,123993,3266
1,1.2,2,142625,1636
0,2.0,2,104140,9482
4,1.4,0,136439,4049
1,1.6,0,211247,2073
3,1.4,1,130003,6044
3,1.2,1,139795,4239
4,1.8,0,87802,11521
1,1.2,2,34439,15192
4,1.6,0,44190,11615
1,1.4,2,92475,6848
4,2.0,2,147935,2899
1,2.0,0,113677,7284
2,2.4,2,97742,18372
4,1.6,2,282692,990
3,2.4,1,178645,2440
1,2.0,0,211208,2029
3,1.8,1,125903,8052
4,1.8,0,154253,4634
4,1.6,0,98528,10057
4,1.0,2,108972,3630
4,1.8,2,35478,25737
3,1.8,1,6068,64448
4,1.8,1,105901,5810
1,1.6,0,99510,5544
3,1.8,1,140396,7675
3,1.0,1,28087,26099
1,1.2,2,112874,4299
0,5.0,2,161690,8812
1,1.8,2,215820,1661
4,1.0,2,77923,4849
3,1.2,2,48324,7270
1,1.8,0,48312,10853
1,1.8,0,18926,37432
1,1.2,2,141829,2626
1,1.6,1,30152,40482
1,1.4,2,86718,4782
1,2.0,0,216603,1708
4,1.6,2,91360,5075
1,1.2,2,98473,3207
1,1.0,2,245221,698
3,1.8,2,69129,12723
1,1.4,2,120357,5727
1,1.4,2,151753,2719
1,2.0,0,112327,10978
1,1.8,0,183162,2632
3,1.0,1,165194,4666
3,1.0,1,105966,4702
0,3.0,0,155080,4124
4,1.2,2,156636,3119
1,2.0,2,112716,4422
3,1.4,2,103197,9217
3,1.2,2,202857,1587
3,2.2,1,66511,33453
1,1.0,2,31527,10803
0,3.0,0,27962,43995
3,1.0,2,341124,178
1,2.0,2,29586,14048
3,1.8,1,257711,1155
3,1.4,1,166279,4479
1,1.2,2,167313,2276
4,2.0,0,98902,14641
3,1.8,1,102009,23613
3,2.0,1,130656,6443
1,1.0,2,20540,19594
3,1.8,1,139267,4856
3,2.0,2,69276,19988
3,1.0,1,25641,18961
3,2.4,1,146972,2975
1,1.4,2,74758,7972
3,1.8,1,61747,23911
1,1.4,2,67366,13881
1,1.8,2,89407,11840
3,1.0,1,5361,46869
1,1.8,1,167259,4498
3,2.2,1,126947,10378
1,1.6,0,57517,5665
1,1.4,0,69868,16229
3,2.4,1,165782,10326
3,1.2,1,184014,2565
1,1.0,2,108395,2084
4,1.6,0,204728,1455
0,2.4,2,31247,35026
4,1.4,0,137601,5345
4,1.4,2,59836,21303
4,1.6,0,40464,18084
4,2.0,0,99554,9137
4,1.2,2,128889,3414
4,1.6,2,240418,1052
1,1.0,0,183182,1621
1,2.0,0,8345,54510
4,1.0,2,135155,1740
4,1.0,2,75518,4314
0,3.0,2,285750,728
3,2.4,1,156430,4390
3,1.0,1,27839,27817
3,2.4,2,77119,19427
1,1.0,2,61615,7859
3,1.4,1,1500,38074
1,1.2,2,290376,257
3,1.8,1,44489,37201
1,1.0,2,132671,4113
4,1.6,2,151243,2007
3,1.2,2,29951,23572
1,1.8,0,309010,525
1,1.6,2,118142,6853
3,1.0,1,105030,7064
1,1.6,2,129215,7253
0,4.0,2,127393,7453
3,1.8,1,137432,7859
4,1.6,2,60402,15934
1,1.0,2,127300,3074
4,1.4,0,38599,20893
1,1.4,2,23181,24423
1,1.4,2,37048,18464
1,1.8,0,164699,4957
1,1.2,2,67812,8266
1,1.6,2,34758,25389
0,2.2,2,39840,26103
3,2.4,2,47694,37520
3,1.8,1,29805,14928
3,1.8,1,231649,1569
1,1.8,2,78169,17873
1,1.0,2,63373,9490
3,1.4,1,38867,23743
4,1.8,0,215317,2560
3,1.2,2,95160,9049
3,2.0,1,46665,47262
4,1.4,0,57352,16285
1,1.4,2,124812,2486
1,2.0,2,43230,26987
1,1.0,2,268571,460
1,1.4,2,114381,6657
1,1.8,0,79200,5612
4,1.2,2,19635,22140
0,4.0,2,42262,93312
3,1.0,1,143411,4571
0,2.0,2,169937,3765
0,2.0,0,125022,5981
4,1.4,2,81710,4892
3,2.0,1,152620,4725
1,2.0,0,23215,34034
1,1.4,2,28081,23757
3,1.8,1,54455,19191
1,1.2,2,260718,444
1,1.4,0,45752,23133
4,2.0,2,236388,954
3,1.8,1,40074,34747
2,2.0,2,214651,2067
1,1.8,0,30787,37433
0,2.0,0,46512,23062
0,4.0,2,43043,62254
0,3.0,2,102066,21106
4,1.4,2,137208,4777
1,1.4,2,41495,14721
4,1.0,2,178854,1808
1,1.6,0,118507,3938
4,2.0,2,13577,33748
4,1.8,2,153174,2560
3,2.0,1,52349,42680
3,2.0,2,40447,35795
3,1.0,1,174037,1496
1,1.0,2,69191,8544
4,2.0,0,58488,23602
3,1.4,1,17029,30721
4,2.0,0,81158,16609
1,2.0,0,206817,2972
3,2.0,1,202340,4610
0,4.4,2,161878,11519
0,2.4,2,103758,6532
0,2.4,0,223777,1456
1,2.0,0,177155,2237
1,1.8,0,217619,1943
1,1.2,2,51896,14608
1,1.2,2,57344,14113
1,1.4,0,149597,4055
1,1.2,2,28524,20524
1,1.0,2,47774,2762
2,2.4,2,202850,3509
1,1.4,1,98518,12431
3,2.4,1,279370,980
1,1.2,2,64297,4063
3,2.4,2,22633,46461
1,1.0,2,178953,1760
0,2.4,0,47782,16803
3,2.4,1,33033,60045
1,1.8,0,190931,2302
3,1.2,2,132072,3756
1,1.8,0,110990,6658
3,1.8,1,48371,19935
4,1.8,2,169775,2382
1,1.4,0,50433,19668
0,4.4,2,77277,52343
4,1.6,0,43848,20421
4,2.0,0,140922,3414
1,1.4,1,40166,19776
4,2.0,2,264040,774
0,2.4,0,148720,5074
1,1.4,0,128137,4771
1,2.0,2,92604,5128
4,1.2,2,8323,28728
1,1.8,2,72583,21213
3,1.2,2,65509,7957
3,1.4,1,71342,15753
0,5.0,2,220609,4619
4,1.6,0,50898,23677
4,1.6,0,19000,4129
3,1.2,1,69984,12102
4,1.4,2,226527,1364
4,1.8,0,67944,19692
0,5.0,2,144212,12426
3,2.2,1,203334,2460
3,1.2,2,85826,6929
1,1.6,0,105741,4056
3,1.0,1,60197,14390
4,1.6,2,172952,3141
3,1.0,1,71461,12499
3,1.8,1,31958,38961
4,1.6,0,83318,8585
2,2.2,2,75623,16290
1,1.6,0,201721,1512
1,1.0,2,35503,18695
3,2.2,1,91325,24685
1,1.8,2,79129,15539
4,1.4,2,130465,1749
3,1.2,2,73419,1861
0,3.0,2,78030,20870
1,2.0,2,231833,1326
4,2.0,0,73733,18680
