Engine size,Year of manufacture,Mileage,Manufacturer_Ford,Manufacturer_Porsche,Manufacturer_Toyota,Manufacturer_VW,Model_911,Model_Cayenne,Model_Fiesta,Model_Focus,Model_Golf,Model_M5,Model_Mondeo,Model_Passat,Model_Polo,Model_Prius,Model_RAV4,Model_X3,Model_Yaris,Model_Z4,Fuel type_Hybrid,Fuel type_Petrol,Price
1.4,1990,261526,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,522
1.4,1995,235594,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1439
2.0,1995,42759,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,7873
1.8,2005,103352,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9633
1.6,2003,63372,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,10001
1.0,2009,51787,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,9689
1.4,2014,41495,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,14721
1.4,2010,43111,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,12928
1.0,2017,38370,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,16257
2.4,2018,24588,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,49125
1.0,2000,207339,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1480
1.0,1990,182958,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,873
1.6,1994,114647,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,4008
1.0,1995,162993,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,1482
1.2,2002,139884,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,3713
2.6,2015,33693,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,54037
2.2,2004,126777,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,8373
1.2,2010,51553,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,9813
1.0,2010,75821,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,8851
1.4,2010,45193,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,11881
1.6,1997,87723,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,3840
1.8,1993,279656,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,863
2.0,2018,25017,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,36957
1.2,1996,111771,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,2543
1.4,2016,43893,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,29946
1.0,2007,118788,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,5306
1.4,2016,43130,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,30085
1.6,1991,247911,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1052
2.0,1991,272161,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,854
1.6,1994,179361,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2371
1.0,2009,66424,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,7616
1.8,1999,104544,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,6058
1.0,1999,80589,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,4937
1.4,2000,128137,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,4771
2.0,1992,169078,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3074
1.6,2016,64344,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,23641
1.6,1993,176456,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2274
1.4,1985,179526,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,1105
1.8,1999,162425,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,5396
2.4,2021,14070,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,69526
2.4,1993,226492,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1799
1.2,1995,183332,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1330
2.0,1990,118673,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,2543
1.0,1993,333629,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,478
1.8,1991,155034,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2526
1.2,1990,200892,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,947
1.8,2020,22371,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,40336
1.6,2015,21834,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,28435
1.0,1985,223615,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,633
1.6,2007,100798,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,10008
2.4,1997,103758,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,6532
1.2,1997,156919,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1901
1.0,2008,42621,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,9591
1.4,2010,64359,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,15563
2.0,2002,180048,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,4086
1.6,2005,142689,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,7247
1.6,2018,22122,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,36634
4.4,1987,226046,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,2956
1.4,1987,236315,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,763
4.4,2008,109941,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,31711
1.0,2009,61615,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,7859
1.8,1989,297635,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,585
1.8,1995,112413,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,5238
1.2,2008,96911,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,6318
1.6,1990,223561,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,1229
1.4,2020,21413,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,39310
2.2,2018,32319,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,40706
2.4,2021,6829,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,66031
1.6,2010,108111,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,7878
1.6,1998,137896,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,4132
1.6,2013,66163,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,18269
1.6,2010,66410,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,16414
2.2,2014,61332,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,26084
2.4,2016,34379,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,40646
3.5,2003,107705,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,24378
1.8,2014,28530,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,23034
1.6,2015,57933,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,24207
2.4,1997,146910,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,4671
1.4,2001,152067,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,5040
4.0,2003,123913,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,19474
1.8,2005,119097,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,11398
1.2,2008,97150,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,8066
2.0,2010,86405,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,14567
1.2,2001,85798,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,5959
2.0,2015,50628,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,22743
3.0,2014,80934,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,26708
1.0,1998,97043,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,3036
1.0,2001,58770,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,5438
1.8,2008,84855,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,12800
1.6,2014,50898,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,23677
1.6,1998,152532,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,3704
1.8,2001,212899,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,3981
1.6,2001,140596,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,3988
2.4,1988,256489,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1183
3.0,2018,20441,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,53379
1.2,1986,147185,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1145
4.4,1997,172030,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,9255
1.8,2005,149956,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,6094
1.6,2009,134426,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9345
1.8,2010,91688,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,19491
1.8,2005,41969,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,16500
2.0,2013,38210,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,25482
1.0,2012,46972,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,19023
2.0,2018,27389,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,44018
2.0,1995,128234,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,2778
1.4,2008,112309,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9705
1.4,1984,225099,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,489
2.6,2003,105361,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,15069
1.4,2005,97979,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,8039
1.6,2016,40104,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,26053
2.0,1993,158259,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,2822
4.0,2018,20634,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,70913
2.0,2010,98644,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,14728
2.0,1991,176358,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,2025
1.8,1998,69223,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,7267
3.0,2008,20860,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,27342
2.0,2009,59936,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,19881
1.4,2012,58214,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,11916
1.4,2020,33832,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,22982
1.2,2009,104436,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,8174
2.0,1992,249377,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,1246
2.6,2003,143603,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,10667
1.8,2007,115932,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,9481
1.4,2016,61363,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,14854
2.0,2016,17810,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,23636
1.8,2021,8120,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,68163
2.0,1990,142888,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,1771
1.0,2009,68094,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,8721
2.0,2016,51724,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,28482
1.0,1998,224106,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,1062
1.0,2009,83796,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,6768
2.2,2012,91325,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,24685
2.0,1997,173089,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,3416
2.0,2013,75451,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,20153
1.0,2006,103766,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,8671
1.6,2014,82221,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,18224
1.6,1985,19000,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,4129
2.4,2012,94338,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,25232
2.6,2019,20147,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,76182
1.2,2018,37411,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,19649
1.2,2004,179016,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,2914
2.0,1999,206584,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3542
1.0,1996,87664,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,5001
1.8,2016,29439,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,30886
1.0,2006,120770,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,6429
1.6,1998,246137,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1614
1.4,2012,72136,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,19139
2.0,2001,147478,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,5272
2.4,1997,149908,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,4558
4.4,1997,66783,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,20664
1.4,2020,18929,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,37720
1.4,2013,53405,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,16365
1.4,2001,136439,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,4049
1.2,2001,110779,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,3670
2.0,1991,188856,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1528
1.0,2013,12867,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,19025
2.0,1994,162098,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2930
1.6,2013,79521,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,17370
1.8,2011,97523,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,14195
1.6,1994,104541,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,3304
1.6,2016,57451,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,19835
1.2,2003,104794,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,4947
1.0,2002,227469,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,1517
1.8,2006,81107,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,12073
1.2,2008,79566,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,7142
1.4,2007,85068,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,8043
2.0,2000,123838,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,8299
2.2,2014,66511,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,33453
1.6,1999,207639,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2584
3.0,1990,150375,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3510
1.4,2013,70458,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,18256
1.8,2016,44550,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,33820
1.6,2012,53390,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,19428
2.6,2015,46563,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,50028
1.0,2002,184586,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1916
1.2,2004,160915,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,2933
1.0,2022,5179,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,36086
1.4,2003,181179,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,3468
1.4,2019,23181,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,23449
1.4,2016,66611,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,19942
1.8,1999,105901,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,5810
1.4,2014,24652,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,24721
1.0,1995,255196,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,737
1.0,2014,24579,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,14089
1.8,2021,21354,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,52908
2.0,1991,117615,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,2741
2.0,1999,135077,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,4855
2.0,2006,94325,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,15441
1.4,2010,96320,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,7831
1.6,1990,137231,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1967
2.2,2015,35448,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,43415
2.0,1995,142544,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,5129
4.0,2012,46755,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,60859
1.6,2001,97700,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,4668
5.0,2016,42059,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,91415
1.6,2012,48576,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,13537
1.4,2006,76691,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,7067
1.8,2017,15473,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,50215
2.0,2000,110549,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,6273
1.0,1992,183342,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,994
1.4,2012,94259,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,13169
1.4,2018,42017,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,28904
1.2,1990,159547,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1420
1.4,2000,73749,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,4833
1.0,2009,63292,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,10802
1.4,2013,71904,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,18080
1.4,2006,159969,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,5504
1.2,2013,75588,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,11861
1.4,2018,18334,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,33119
1.2,1995,175506,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,1460
1.8,1985,235671,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,949
1.0,1996,144412,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,1846
4.4,2008,79613,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,39453
4.4,2004,108396,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,24571
3.0,2013,68093,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,39031
